Hotelname,Hotelid,Address,Cityname,Citycode,CountryCode,CountryName,Payment,Tel No.,FAX No.,Latitude,Longtitude,Star,# room,Email
Armani Dubai,WSASAEDXB000392,Burj Khalifa Downtown Dubai,Dubai,WSASAEDXB,WSASAE,United Arab Emirates,NONE,+971 4 888 3999, ,25.197517,55.274873,5,,
Conrad Hong Kong,WSASHKHKG000068,Pacific Place 88 Queensway,Hong Kong City,WSASHKHKG,WSASHK,Hong Kong,NONE,(852) 2521 - 3838,(852) 2521 - 3888,22.276837,114.165379,5,,
Disney s Hollywood,WSASHKHKG000079,Hong Kong Disneyland Resort,Hong Kong City,WSASHKHKG,WSASHK,Hong Kong,NONE,(852) 3510 - 5000,(852) 3510 - 5333,22.309264,114.037343,5,,
The Excelsior Hong Kong,WSASHKHKG000099,"281 Gloucester Road, Causeway Bay, Hongkong",Hong Kong City,WSASHKHKG,WSASHK,Hong Kong,NONE,(852) 2894 - 8888,(852) 2895 - 6459,22.281966,114.184092,4,,
Hotel Sav Hong Kong,WSASHKHKG000140,"No. 83 Wuhu Street, Hunghom, Kowloon, Hong Kong",Hong Kong City,WSASHKHKG,WSASHK,Hong Kong,NONE,+852 2275 8888,+852 2275 8999,22.306944,114.186154,4,,
Lanson Place Hotel,WSASHKHKG000188,133 Leighton Road,Hong Kong City,WSASHKHKG,WSASHK,Hong Kong,NONE,(852) 3477 - 6888,(852) 3477 - 6999,22.2764,114.1805,5,,
Marco Polo Hong Kong,WSASHKHKG000208,"No 3 Canton Road Harbour City, Tsim Sha TsuiKowloon",Hong Kong City,WSASHKHKG,WSASHK,Hong Kong,NONE,(852) 2113 - 0088,(852) 2113 - 0011,22.29523,114.168897,5,,
OZO Wesley Hong Kong,WSASHKHKG000250,"22 Hennessy Road, Wanchai Hong Kong",Hong Kong City,WSASHKHKG,WSASHK,Hong Kong,NONE,+852 2292 3000,+852 2292 3001,22.277502,114.168956,4,,
"The Park Lane Hong Kong, a Pullman Hotel",WSASHKHKG000261,"310 Gloucester Road , Causeway Bay , Hongkong",Hong Kong City,WSASHKHKG,WSASHK,Hong Kong,NONE,(852) 2293 - 8888,(852) 2576 - 7853,22.281172,114.186453,5,,
Disney Explorers Lodge,WSASHKHKG000339,Hong Kong Disneyland Resort,Hong Kong City,WSASHKHKG,WSASHK,Hong Kong,NONE,+852 3510-2000, ,22.308188,114.038593,5,,
